wavelength_nm,primary_R,primary_G,primary_B,display_white,illuminant_E,illuminant_A,D65
731,5.53718e-18,1.94226e-40,1.96259e-183,1.18938e-19,1,216.684,70.4057
732,2.60708e-18,7.8016e-41,8.74883e-185,5.59996e-20,1,217.246,70.9259
733,1.21885e-18,3.11956e-41,3.85562e-186,2.61806e-20,1,217.806,71.446
734,5.6581e-19,1.24176e-41,1.67982e-187,1.21535e-20,1,218.364,71.9662
735,2.60809e-19,4.92057e-42,7.23529e-189,5.60212e-21,1,218.92,72.4863
736,1.19372e-19,1.94101e-42,3.08087e-190,2.56408e-21,1,219.473,73.0064
737,5.42511e-20,7.6221e-43,1.29692e-191,1.1653e-21,1,220.025,73.5266
738,2.44818e-20,2.97958e-43,5.39735e-193,5.25866e-22,1,220.574,74.0467
739,1.097e-20,1.1595e-43,2.22061e-194,2.35634e-22,1,221.122,74.5669
740,4.88091e-21,4.49178e-44,9.03205e-196,1.04841e-22,1,221.667,75.087
741,2.15636e-21,1.73221e-44,3.63183e-197,4.63182e-23,1,222.21,73.9376
742,9.45954e-22,6.64995e-45,1.44374e-198,2.03189e-23,1,222.751,72.7881
743,4.12048e-22,2.54138e-45,5.67384e-200,8.85071e-24,1,223.29,71.6387
744,1.78219e-22,9.66841e-46,2.2044e-201,3.82811e-24,1,223.826,70.4892
745,7.65398e-23,3.66163e-46,8.46694e-203,1.64406e-24,1,224.361,69.3398
746,3.26399e-23,1.38047e-46,3.21505e-204,7.011e-25,1,224.893,68.1904
747,1.3821e-23,5.18103e-47,1.2069e-205,2.96873e-25,1,225.423,67.041
748,5.81111e-24,1.9357e-47,4.47902e-207,1.24822e-25,1,225.951,65.8915
749,2.42609e-24,7.19936e-48,1.6433e-208,5.21119e-26,1,226.477,64.7421
750,1.00573e-24,2.66553e-48,5.96041e-210,2.16029e-26,1,227,63.5927
751,4.13986e-25,9.82444e-49,2.13727e-211,8.89234e-27,1,227.522,61.8752
